location_key,date,new_deceased,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,new_confirmed,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9
AR,2020-08-31,303,0,1,1,3,13,24,59,83,87,32,10056,244,414,1802,2484,2044,1427,797,453,264,118
AR,2020-10-05,372,1,0,1,6,11,49,74,102,83,45,13230,290,551,2337,3207,2743,1874,1142,619,344,119
AR,2020-09-01,308,0,0,1,4,13,21,53,96,83,37,11517,209,430,2083,2818,2447,1725,905,497,281,116
AR,2020-11-18,242,1,2,0,3,10,17,55,62,66,26,9842,221,497,1937,2282,1909,1341,853,490,226,84
BR,2020-09-13,415,2,0,8,21,35,82,142,174,129,43,14768,326,313,1306,1665,1342,907,602,293,342,26
BR,2020-08-09,572,1,4,10,30,39,116,201,258,177,57,23010,545,621,1873,2574,2288,1702,1188,531,165,55
BR,2020-12-03,755,0,0,4,20,46,87,147,186,154,51,50434,1829,3451,10631,12417,10108,7783,4365,1750,795,157
BR,2020-09-07,310,0,0,0,0,0,0,0,0,0,0,10273,348,532,1697,2625,2420,1803,1003,674,220,68
CO,2020-11-03,239,0,0,3,4,13,26,41,72,64,16,9199,251,569,2044,2131,1535,1237,792,416,194,30
CO,2020-10-20,206,0,0,3,9,12,19,39,67,44,13,10141,282,627,2355,2420,1598,1373,797,437,200,52
CO,2020-11-19,217,0,0,2,4,7,27,42,57,63,15,10785,318,732,2384,2507,1614,1440,911,534,276,69
CO,2020-10-22,191,1,2,4,6,10,16,48,40,48,16,9646,238,599,2181,2308,1585,1316,796,388,194,41
CO,2020-12-25,271,0,1,6,7,14,34,48,71,64,26,5652,161,372,1126,1113,918,909,584,265,168,36
CZ,2020-07-10,0,0,0,0,0,0,0,0,0,0,0,141,6,15,26,28,23,23,10,6,3,1
CZ,2020-12-31,129,0,0,0,2,0,2,17,44,50,14,13348,621,1058,1668,2144,2732,2063,1510,1081,406,65
DE,2020-10-08,44,0,0,0,1,15,26,0,0,0,0,5063,93,309,1778,1757,547,168,0,0,0,0
DE,2020-08-13,6,0,0,0,0,1,1,0,0,0,0,1376,53,172,675,495,72,22,0,0,0,0
EE,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
EE,2020-09-04,0,0,0,0,0,0,0,0,0,0,0,35,0,1,13,8,3,4,4,1,1,0
EE,2020-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,2020-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,2020-09-29,149,0,0,2,0,1,8,11,36,91,0,11369,974,1366,1579,1651,1956,1598,975,559,710,0
ES,2020-11-19,312,0,0,0,0,0,6,26,52,227,0,13197,984,1621,1585,1704,2176,1945,1324,865,991,0
ES,2020-11-17,376,0,1,1,1,2,11,24,89,247,0,15898,1073,1880,1942,2015,2742,2386,1556,1089,1211,0
FI,2020-11-10,1,0,0,0,0,0,0,0,0,0,0,220,20,21,36,48,41,27,17,5,5,0
FI,2020-08-25,0,0,0,0,0,0,0,0,0,0,0,43,3,7,8,4,8,9,1,2,1,0
FI,2020-07-11,0,0,0,0,0,0,0,0,0,0,0,12,1,3,1,2,3,1,0,1,0,0
FR,2020-08-11,15,0,0,0,0,0,0,0,0,0,0,1397,108,294,808,484,364,266,178,101,65,21
FR,2020-09-23,43,0,0,0,0,0,0,0,0,0,0,13072,270,1917,3581,2062,1706,1577,906,526,297,137
IN,2020-08-14,944,0,0,0,0,0,0,0,0,0,0,63490,6,8,24,33,25,54,40,28,17,1
IN,2020-09-23,1141,0,0,0,0,0,0,0,0,0,0,86052,1,0,0,3,3,10,11,16,1,2
IN,2020-11-01,490,0,0,0,0,0,0,0,0,0,0,38310,0,0,2,2,2,3,10,16,5,0
IN,2020-12-19,333,0,0,0,0,0,0,0,0,0,0,24337,0,0,0,0,0,1,0,5,1,0
IN,2020-07-27,768,0,0,0,0,0,0,0,0,0,0,48513,1,2,10,18,10,24,26,26,5,1
IN,2020-10-01,1069,0,0,0,0,0,0,0,0,0,0,79476,0,0,0,0,1,9,10,4,3,3
MY,2020-08-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
NZ,2020-12-22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
NZ,2020-11-11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0
NZ,2020-07-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NZ,2020-12-12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0
PE,2020-07-14,595,0,2,11,14,47,103,138,152,110,18,4441,82,205,777,933,866,712,511,254,90,11
PE,2020-09-01,376,1,1,1,12,28,64,91,97,64,17,6408,214,369,1139,1420,1214,910,662,312,147,21
PE,2020-11-30,115,0,1,1,6,4,12,30,31,22,8,1678,85,123,330,359,248,216,161,102,47,7
PH,2020-07-07,45,2,0,0,2,5,9,10,11,4,2,2229,62,110,569,562,391,265,137,65,25,1
PH,2020-08-29,66,0,1,1,7,5,11,15,14,11,1,2809,59,132,719,722,484,350,213,89,37,3
PH,2020-08-16,77,1,0,3,4,8,17,16,16,9,3,2128,51,75,587,527,359,261,171,64,20,4
PH,2020-10-24,39,0,0,3,4,3,8,8,7,4,2,1421,43,63,385,344,265,178,84,45,12,2
RO,2020-10-24,155,0,0,0,0,0,0,0,0,0,0,9789,162,495,1087,1706,2094,1793,1236,717,469,0
TH,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,3,0,1,2,0,0,0
TH,2020-07-13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0
TH,2020-11-22,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,4,2,1,2,0,0
TW,2020-11-14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0
US,2020-07-08,1079,0,0,0,0,0,0,0,0,0,0,64318,1044,2385,6381,4700,3940,3398,2089,1103,0,0
AE,2020-07-22,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0
