location_key,hdi
AD,0.858
AE,0.863
AF,0.498
AG,0.78
AL,0.764
AM,0.743
AO,0.581
AT,0.908
AU,0.939
AZ,0.751
BA,0.733
BB,0.8
BD,0.632
BE,0.931
BF,0.423
BG,0.782
BH,0.824
BI,0.417
BJ,0.515
BN,0.853
BO,0.693
BS,0.807
BT,0.612
BW,0.717
BY,0.798
BZ,0.715
CA,0.926
CD,0.457
CF,0.367
CG,0.606
CH,0.93
CI,0.492
CL,0.832
CM,0.556
CN,0.752
CO,0.747
CR,0.794
CU,0.769
CV,0.654
CW,0.89
CY,0.85
DJ,0.476
DK,0.929
DM,0.715
DO,0.736
DZ,0.754
EC,0.746
EG,0.696
ER,0.44
ES,0.876
ET,0.463
FI,0.883
FJ,0.741
FR,0.901
GA,0.702
GB,0.922
GD,0.772
GH,0.592
GM,0.46
GN,0.459
GQ,0.591
GR,0.865
GT,0.627
GW,0.455
GY,0.654
HK,0.933
HN,0.606
HR,0.831
HT,0.498
HU,0.828
ID,0.694
IL,0.903
IQ,0.685
IR,0.798
IS,0.899
IT,0.873
JM,0.732
JO,0.735
JP,0.919
KE,0.548
KG,0.672
KH,0.582
KI,0.612
KM,0.503
KN,0.778
KR,0.903
KW,0.803
KZ,0.8
LA,0.601
LB,0.757
LC,0.747
LI,0.908
LK,0.77
LR,0.435
LS,0.52
LT,0.839
LU,0.916
LV,0.819
LY,0.706
MA,0.667
MD,0.693
ME,0.802
MG,0.519
MH,0.708
ML,0.427
MM,0.578
MN,0.741
MR,0.52
MT,0.839
MU,0.79
MV,0.717
MW,0.477
MX,0.756
MY,0.802
MZ,0.437
NA,0.647
NE,0.354
NG,0.532
NI,0.631
NL,0.931
NO,0.957
NP,0.574
NZ,0.917
OM,0.821
PA,0.78
PE,0.75
PG,0.555
PH,0.699
PK,0.562
PL,0.843
PT,0.83
PW,0.798
PY,0.702
QA,0.856
RS,0.771
RU,0.816
RW,0.524
SA,0.853
SB,0.546
SC,0.797
SD,0.502
SE,0.907
SG,0.932
SI,0.88
SK,0.844
SL,0.419
SN,0.505
SR,0.72
SS,0.388
ST,0.589
SV,0.7
SY,0.536
SZ,0.588
TD,0.404
TG,0.503
TH,0.755
TJ,0.65
TL,0.625
TM,0.706
TN,0.735
TO,0.726
TR,0.82
TT,0.784
TW,0.911
TZ,0.538
UA,0.747
UG,0.516
UY,0.804
UZ,0.71
VC,0.723
VE,0.761
VN,0.694
VU,0.603
WS,0.713
YE,0.452
ZA,0.699
ZM,0.588
ZW,0.535
DE,0.942
AR,0.825
BR,0.754
CZ,0.888
EE,0.892
IN,0.64
US,0.92
RO,0.811
