date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2022-08-24,AO,58,51,146,46,-54,29
2021-05-13,AT,-77,-86,-21,-59,-82,26
2021-07-24,AW,11,11,63,-39,-5,-8
2021-07-05,BA,9,39,32,9,-13,-13
2022-02-25,BA,13,48,17,-29,22,-8
2021-12-27,BA,38,68,45,13,7,-9
2021-07-24,BA,17,45,83,21,-11,-17
2021-11-17,BA,8,48,2,8,5,-10
2021-12-19,BB,104,60,72,21,34,-10
2021-02-10,BB,-76,-43,-30,-77,-70,25
2021-04-14,BD,-52,-11,-32,-47,-53,27
2022-06-23,BF,131,193,258,106,80,21
2022-04-23,BF,109,175,288,71,110,24
2022-08-07,BF,152,210,299,100,106,22
2022-03-31,BF,140,207,287,99,98,21
2022-04-24,BJ,72,181,252,19,82,24
2022-02-13,BS,12,10,23,-4,1,-9
2021-10-15,BS,-2,4,16,-20,-18,-11
2021-09-29,BW,63,122,51,64,-8,-8
2022-06-11,BY,-18,10,89,-3,-18,-9
2021-08-15,BY,-11,12,80,5,-8,-14
2021-06-28,CL,-57,-20,-46,-52,-68,26
2021-05-21,CL,-60,-23,-56,-50,-64,33
2022-08-22,CM,51,84,109,87,27,25
2022-09-08,CV,33,37,61,32,-15,20
2021-05-16,EC,-76,-72,-71,-72,-44,23
2021-07-09,FJ,-19,4,-22,-46,-34,33
2021-07-03,FJ,-20,6,-28,-48,-20,25
2020-12-17,FJ,-59,-45,-24,-81,-67,34
2021-06-25,GA,15,19,94,13,-4,-12
2021-01-19,GB,-63,-27,-23,-64,-52,20
2022-05-19,GH,46,76,48,35,25,21
2021-07-31,GR,7,32,201,37,-4,-8
2020-07-16,GT,-42,-22,-39,-59,-43,23
2022-08-02,HT,43,27,72,37,5,24
2022-07-28,HT,46,32,78,36,4,23
2021-06-22,IQ,45,105,29,43,-5,-8
2021-04-05,IT,-71,-61,11,-67,-81,24
2021-08-09,JP,-2,3,-13,-48,-62,21
2022-07-11,KE,66,76,86,66,-20,24
2021-06-12,KG,-17,-4,-1,-3,-28,-9
2021-06-13,KZ,-12,10,28,66,-15,-10
2021-05-30,KZ,-16,5,28,60,-15,-9
2022-08-07,LA,1,19,9,-17,18,21
2021-08-06,LB,14,69,36,10,-25,-10
2021-09-09,LK,-48,-27,-28,-56,-51,32
2021-08-20,LK,-15,62,-9,-22,-42,24
2021-06-27,LT,-13,44,170,3,17,-12
2021-04-25,MD,-15,4,-5,-20,-18,-9
2021-04-17,MD,-20,1,-9,-23,-19,-8
2022-04-12,ML,60,85,262,82,66,24
2022-05-29,ML,74,40,254,81,71,22
2021-11-24,ML,37,85,102,47,9,-9
2021-05-27,ML,27,74,65,15,-3,-10
2021-06-06,ML,25,11,58,14,-9,-10
2022-08-14,MM,-16,10,27,-15,28,21
2022-08-09,MM,-11,12,33,-12,10,22
2020-10-06,MM,-61,-39,-42,-62,-57,28
2021-09-28,MM,-44,-22,-30,-43,-46,20
2021-04-20,MN,-47,26,-23,-33,-46,27
2021-05-01,MN,-46,26,-29,-34,-29,21
2022-07-19,NA,12,36,39,55,32,21
2021-10-30,NA,55,75,26,28,19,-14
2021-03-12,NA,-13,3,-25,-20,-8,-9
2021-04-12,NA,-11,4,-23,-17,-4,-8
2021-02-22,NA,-20,-6,-27,-31,-14,-8
2022-07-23,NE,129,87,198,155,47,20
2022-07-30,NG,56,68,79,63,60,22
2022-03-21,NG,67,54,74,52,38,24
2022-08-02,NG,60,69,79,64,37,27
2020-07-21,PA,-60,-34,-56,-62,-52,29
2020-08-16,PA,-90,-88,-80,-88,-61,32
2020-08-11,PA,-54,-29,-51,-58,-49,27
2020-11-30,PT,-30,-7,-30,-55,-49,22
2022-04-11,RW,83,37,307,31,28,27
2022-08-24,RW,106,38,283,31,30,30
2021-02-17,RW,-25,-34,-22,-44,-33,22
2021-01-01,SE,-74,-58,11,-70,-85,26
2021-12-24,SG,-5,23,0,-24,-30,20
2021-06-18,SG,-39,-3,-26,-38,-30,27
2021-07-29,SG,-37,0,-14,-31,-24,21
2022-07-20,SN,0,23,56,8,-7,20
2020-07-23,SV,-51,-29,-47,-57,-47,23
2022-07-20,TG,55,90,224,44,44,28
2022-07-19,TZ,71,74,147,63,34,23
2022-09-10,UG,40,47,116,31,56,24
2022-03-23,UG,25,27,113,17,43,23
2022-06-27,UG,33,39,131,30,47,22
2022-08-05,UG,42,52,132,41,50,22
2020-11-12,VN,-19,-3,-29,-12,12,-10
2021-08-01,VN,-72,-48,-55,-78,-54,20
