date,location_key,search_trends_cough,search_trends_fever
2022-05-13,AD,,
2020-11-03,AD,,
2020-10-19,AD,,
2020-09-20,AD,,
2021-07-25,AD,,
2021-01-24,AD,,
2021-11-08,AD,,
2021-12-13,AD,,
2021-10-06,AE,,
2020-08-13,AE,,
2021-06-10,AE,,
2021-12-10,AE,,
2021-10-15,AE,,
2022-01-10,AE,,
2021-07-28,AE,,
2020-12-30,AE,,
2022-06-29,AE,,
2022-01-07,AE,,
2021-12-11,AF,,
2021-11-15,AF,,
2021-08-16,AF,,
2020-12-12,AF,,
2021-03-12,AF,,
2021-08-15,AF,,
2022-02-11,AF,,
2021-10-31,AF,,
2022-07-26,AF,,
2021-04-14,AF,,
2022-03-09,AF,,
2022-04-21,AF,,
2022-07-06,AF,,
2021-08-26,AF,,
2022-09-05,AF,,
2021-03-04,AF,,
2020-11-29,AG,,
2021-07-11,AG,,
2021-03-03,AG,,
2021-03-12,AG,,
2021-11-28,AG,,
2021-12-26,AG,,
2020-07-13,AG,,
2022-09-12,AG,,
2022-05-06,AG,,
2021-01-12,AG,,
2020-08-04,AG,,
2020-10-07,AG,,
2021-11-01,AI,,
2021-08-05,AI,,
2021-05-28,AI,,
2021-10-27,AI,,
2021-05-10,AI,,
2020-10-25,AI,,
2020-07-31,AI,,
2021-11-03,AI,,
2022-08-11,AL,,
2022-06-23,AL,,
2021-08-15,AL,,
2020-09-14,AL,,
2020-12-11,AL,,
2022-02-05,AL,,
2021-10-31,AL,,
2020-08-14,AL,,
2020-10-13,AL,,
2020-10-11,AL,,
2021-02-02,AL,,
2022-09-16,AL,,
2021-10-14,AL,,
2022-05-19,AL,,
2022-07-30,AM,,
2020-10-28,AM,,
2021-03-09,AM,,
2021-11-15,AM,,
2021-11-04,AM,,
2021-05-19,AN,,
2020-07-03,AN,,
2022-02-25,AN,,
2022-07-13,AN,,
2020-08-26,AN,,
2021-01-31,AN,,
2022-04-08,AN,,
2022-03-17,AN,,
2021-08-14,AN,,
2022-06-19,AN,,
2022-08-02,AN,,
2021-02-27,AN,,
2020-09-16,AN,,
2022-05-30,AN,,
2022-05-29,AN,,
2020-09-10,AN,,
2021-02-01,AN,,
2020-07-15,AN,,
2022-04-06,AO,,
2020-09-19,AO,,
2021-05-27,AO,,
2021-09-02,AO,,
2020-12-15,AO,,
2021-11-13,AO,,
2021-10-07,AO,,
2022-07-02,AO,,
2021-08-19,AO,,
2020-11-10,AQ,,
2022-05-08,AQ,,
2022-03-26,AQ,,
2021-04-25,AQ,,
2022-09-06,AQ,,
2021-11-20,AQ,,
2021-08-12,AQ,,
2021-06-13,AQ,,
2020-08-18,AQ,,
2020-07-22,AS,,
2021-05-03,AS,,
2022-07-04,AS,,
2020-11-16,AS,,
2022-06-01,AS,,
2022-08-04,AT,,
2022-09-07,AT,,
2021-11-27,AT,,
2020-08-03,AU,6.24,5.64
2022-09-14,AU,,
2020-08-09,AU,5.81,4.92
2022-05-06,AU,9.81,5.9
2021-01-26,AU,4.64,4.13
2021-01-08,AU,5.08,4.1
2020-08-06,AU,5.85,5.36
2021-10-23,AU,4.73,4.02
2022-02-12,AU,4.76,5.86
2021-01-09,AU,4.84,4.02
2020-08-01,AU,5.61,4.8
2021-01-27,AU,4.66,4.08
2021-10-25,AU,5.04,4.41
2020-08-25,AU,5.95,4.87
2021-01-01,AU,5.37,4.2
2021-04-26,AW,,
2021-10-03,AW,,
2020-09-07,AW,,
2022-01-12,AW,,
2020-10-07,AW,,
2021-03-07,AW,,
2022-07-20,AZ,,
2020-07-06,AZ,,
2021-12-24,AZ,,
2022-05-01,AZ,,
2020-08-15,AZ,,
2022-02-12,AZ,,
2021-03-20,AZ,,
2021-01-06,AZ,,
2022-04-24,AZ,,
2020-09-27,AZ,,
2022-08-23,AZ,,
2022-02-04,AZ,,
2022-05-27,AZ,,
2021-08-22,AZ,,
2021-03-16,AZ,,
2020-07-29,BA,,
2020-11-18,BA,,
2021-12-25,BA,,
2020-09-11,BA,,
2022-05-12,BA,,
2022-02-28,BA,,
2021-03-21,BA,,
2022-04-06,BA,,
2022-02-17,BA,,
2020-11-11,BA,,
2022-02-06,BB,,
2021-11-11,BB,,
2021-09-27,BB,,
2021-01-22,BB,,
2021-07-23,BB,,
2021-12-02,BB,,
2020-12-12,BD,,
2022-07-24,BD,,
2022-08-29,BD,,
2020-11-23,BD,,
2022-03-29,BD,,
2022-02-02,BD,,
2021-02-10,BD,,
2021-08-06,BD,,
2021-07-01,BD,,
2020-08-21,BD,,
2021-11-01,BE,,
2022-03-08,BE,,
2022-03-22,BE,,
2022-07-21,BE,,
2021-12-28,BE,,
2022-03-01,BE,,
2021-07-30,BE,,
2022-07-05,BE,,
2021-08-25,BE,,
2020-08-23,BE,,
2021-08-03,BE,,
2022-01-09,BE,,
2021-02-22,BF,,
2022-08-31,BF,,
2021-05-28,BF,,
2022-06-24,BF,,
2022-02-27,BF,,
2020-12-01,BF,,
2020-08-12,BF,,
2021-06-19,BF,,
2021-12-02,BF,,
2021-06-08,BG,,
2021-09-25,BH,,
2020-11-26,BH,,
2021-10-24,BH,,
2021-01-31,BH,,
2020-09-20,BH,,
2021-04-28,BH,,
2020-08-16,BH,,
2022-03-29,BH,,
2021-10-14,BH,,
2020-12-15,BH,,
2022-01-08,BH,,
2022-03-11,BH,,
2020-10-07,BH,,
2021-10-27,BI,,
2020-11-29,BI,,
2020-08-08,BI,,
2020-09-23,BI,,
2022-03-30,BI,,
2021-01-25,BI,,
2021-09-25,BI,,
2020-11-27,BI,,
2022-06-02,BI,,
2021-03-02,BJ,,
2020-07-31,BJ,,
2021-09-30,BJ,,
2021-07-11,BJ,,
2021-12-08,BJ,,
2022-01-29,BJ,,
2022-05-14,BJ,,
2020-09-12,BJ,,
2020-08-23,BM,,
2021-06-24,BM,,
2020-09-19,BM,,
2020-11-22,BM,,
