,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
266,Afghanistan,AFG,2016,9.067598,2.878736,5.794097,0.318639,0.076126,0.0,,0.261795
267,Afghanistan,AFG,2017,9.867969,3.447824,6.074912,0.300448,0.044785,0.0,,0.276852
268,Afghanistan,AFG,2018,10.818048,3.8472,6.620848,0.29312,0.05688,0.0,,0.294876
269,Afghanistan,AFG,2019,11.081621,3.954767,6.842956,0.245569,0.038329,0.0,,0.293401
270,Afghanistan,AFG,2020,11.681766,4.150072,7.219776,0.251244,0.060674,0.0,,0.299746
271,Afghanistan,AFG,2021,11.874211,4.203536,7.41957,0.238847,0.012259,0.0,,0.296119
538,Albania,ALB,2016,4.631977,0.190528,3.359888,0.161216,0.88047,0.039875,,1.607732
539,Albania,ALB,2017,5.564149,0.274609,4.078863,0.168427,1.011492,0.030757,,1.932429
540,Albania,ALB,2018,4.984045,0.472656,3.330576,0.150224,1.016733,0.013856,,1.732368
541,Albania,ALB,2019,4.947485,0.322432,3.440496,0.131904,1.048179,0.004474,,1.721533
542,Albania,ALB,2020,4.728559,0.331439,3.217576,0.131178,1.048179,0.000188,,1.649392
543,Albania,ALB,2021,4.619109,0.174413,3.246273,0.150245,1.048179,0.0,,1.618066
810,Algeria,DZA,2016,158.748363,0.0,54.626576,78.677072,9.371843,16.072872,,3.935325
811,Algeria,DZA,2017,166.411374,0.795088,55.30808,82.352064,11.406257,16.549884,,4.045341
812,Algeria,DZA,2018,173.911594,1.330002,54.922121,88.886635,12.381661,16.391175,,4.147961
813,Algeria,DZA,2019,179.504831,1.095512,59.157648,91.24992,11.028039,16.973712,,4.203332
814,Algeria,DZA,2020,172.504477,1.098537,54.540075,88.30831,11.028039,17.529515,,3.970031
815,Algeria,DZA,2021,176.26907,1.095536,56.020598,92.791955,11.028039,15.332942,,3.989977
1082,Andorra,AND,2016,0.468992,0.0,0.468992,0.0,0.0,0.0,,6.465288
1083,Andorra,AND,2017,0.465328,0.0,0.465328,0.0,0.0,0.0,,6.302098
1084,Andorra,AND,2018,0.49464,0.0,0.49464,0.0,0.0,0.0,,6.594057
1085,Andorra,AND,2019,0.479984,0.0,0.479984,0.0,0.0,0.0,,6.287204
1086,Andorra,AND,2020,0.448884,0.0,0.448884,0.0,0.0,0.0,,5.777148
1087,Andorra,AND,2021,0.452888,0.0,0.452888,0.0,0.0,0.0,,5.730292
1354,Angola,AGO,2016,27.209697,0.0,15.916416,1.494912,1.499598,8.298771,,0.933285
1355,Angola,AGO,2017,24.30409,0.0,14.591862,1.571657,0.995857,7.144714,,0.804541
1356,Angola,AGO,2018,22.779499,0.0,14.873711,1.608266,1.046231,5.251291,,0.728395
1357,Angola,AGO,2019,21.818019,0.0,13.893888,2.429232,1.12373,4.371169,,0.674362
1358,Angola,AGO,2020,20.275732,0.0,13.103288,2.539976,1.12373,3.508738,,0.606541
1359,Angola,AGO,2021,21.362717,0.0,13.901716,2.951298,1.12373,3.385974,,0.619141
1626,Anguilla,AIA,2016,0.153888,0.0,0.153888,0.0,0.0,0.0,,10.388713
1627,Anguilla,AIA,2017,0.142896,0.0,0.142896,0.0,0.0,0.0,,9.516883
1628,Anguilla,AIA,2018,0.142896,0.0,0.142896,0.0,0.0,0.0,,9.412819
1629,Anguilla,AIA,2019,0.153888,0.0,0.153888,0.0,0.0,0.0,,10.005722
1630,Anguilla,AIA,2020,0.13139,0.0,0.13139,0.0,0.0,0.0,,8.430535
1631,Anguilla,AIA,2021,0.144744,0.0,0.144744,0.0,0.0,0.0,,9.188354
1898,Antarctica,ATA,2016,0.0,,,,,,,0.0
1899,Antarctica,ATA,2017,0.0,,,,,,,0.0
1900,Antarctica,ATA,2018,0.0,,,,,,,0.0
1901,Antarctica,ATA,2019,0.0,,,,,,,0.0
1902,Antarctica,ATA,2020,0.0,,,,,,,0.0
1903,Antarctica,ATA,2021,0.0,,,,,,,0.0
2170,Antigua and Barbuda,ATG,2016,0.490976,0.0,0.490976,0.0,0.0,0.0,,5.421315
2171,Antigua and Barbuda,ATG,2017,0.490976,0.0,0.490976,0.0,0.0,0.0,,5.388294
2172,Antigua and Barbuda,ATG,2018,0.498304,0.0,0.498304,0.0,0.0,0.0,,5.438456
2173,Antigua and Barbuda,ATG,2019,0.498304,0.0,0.498304,0.0,0.0,0.0,,5.409468
2174,Antigua and Barbuda,ATG,2020,0.425453,0.0,0.425453,0.0,0.0,0.0,,4.591351
2175,Antigua and Barbuda,ATG,2021,0.468695,0.0,0.468695,0.0,0.0,0.0,,5.027895
2442,Argentina,ARG,2016,189.920431,4.191696,84.55575,96.302759,4.029,0.841225,,4.349166
2443,Argentina,ARG,2017,186.898875,4.279469,80.855575,96.441927,4.36209,0.959815,,4.242436
2444,Argentina,ARG,2018,180.599336,4.356408,74.392351,96.123096,4.368692,1.358789,,4.066307
2445,Argentina,ARG,2019,178.511615,2.14344,74.848192,95.608416,4.140926,1.77064,,3.989486
2446,Argentina,ARG,2020,169.262697,2.64246,70.912696,90.21251,3.508472,1.986558,,3.758384
